"binom","pruin.binom","repro.strag","typical.habitat","pruin.thorax","pruin.abdo","z.MAT","z.arid"
"Epitheca_stella",0,"f","open",0,0,1.15534161138008,0.317601155816251
"Erpetogomphus_compositus",0,"p","open",0,0,0.135556154898194,-1.66295538698797
"Erpetogomphus_crotalinus",0,"p","forest",0,0,0.813311158926823,-1.76872742305074
"Erpetogomphus_designatus",0,"f","open",0,0,0.374087911472518,-0.468439620872104
"Erpetogomphus_elaps",0,"p","both",0,0,0.986761604141345,-1.6206818497528
"Erpetogomphus_eutainia",0,"p","forest",0,0,1.33076608320962,-0.89007155246229
"Erpetogomphus_heterodon",0,"p","both",0,0,-0.188546422481787,-1.62617003664099
"Erpetogomphus_lampropeltis",0,"p","open",0,0,0.374632076205279,-1.71676366436744
"Erythemis_attala",0,"p","forest",0,0,1.30061101076215,-0.955116295262351
"Erythemis_mithroides",0,"p","forest",0,0,1.50235130940755,-0.746167319431753
"Erythemis_plebeja",0,"p","open",0,0,1.42199748128294,-0.660285597319297
"Erythemis_vesiculosa",0,"p","both",0,0,1.2187679801793,-0.543713107904686
"Erythrodiplax_fervida",0,"p","open",0,0,1.80684743431578,-0.772855848431128
"Erythrodiplax_umbrata",0,"p","open",0,0,1.04650756081022,-0.291693495871933
"Gomphaeschna_antilope",0,"f","forest",0,0,0.204521738408831,1.32100516173096
"Gomphaeschna_furcillata",0,"f","forest",0,0,-0.369349382046943,0.895981988000228
"Gomphus_crassus",0,"p","forest",0,0,-0.205471602002757,0.727084356465402
"Gomphus_dilatatus",0,"p","forest",0,0,0.844986262346678,1.15409123589177
"Gomphus_fraternus",0,"p","open",0,0,-0.869198736508098,-0.106858953236374
"Gomphus_gonzalezi",0,"p","open",0,0,1.46044797564765,-0.987043682641353
"Gomphus_hybridus",0,"p","open",0,0,0.390392051194276,0.941786094114199
"Gomphus_lineatifrons",0,"p","open",0,0,-0.38214312380139,0.654396348260525
"Gomphus_modestus",0,"p","open",0,0,0.927909153677457,1.62931439167761
"Gomphus_ozarkensis",0,"p","forest",0,0,0.232051827544289,0.595473434317283
"Gomphus_septima",0,"p","forest",0,0,0.171250342802364,1.18362681534838
"Gomphus_vastus",0,"p","open",0,0,-0.410450070421007,0.191942274222546
"Gomphus_ventricosus",0,"p","open",0,0,-0.708871366907709,0.234127564388283
