"ID","Treatment","time","temp.gain","z.mass"
13,"C",270,1.1,-1.44696592609322
13,"C",300,1.1,-1.44696592609322
14,"C",0,0,1.2029882354332
14,"C",30,0.1,1.2029882354332
14,"C",60,0.3,1.2029882354332
14,"C",90,0.6,1.2029882354332
14,"C",120,0.7,1.2029882354332
14,"C",150,0.7,1.2029882354332
14,"C",180,0.6,1.2029882354332
14,"C",210,0.6,1.2029882354332
14,"C",240,0.6,1.2029882354332
14,"C",270,0.7,1.2029882354332
14,"C",300,0.7,1.2029882354332
15,"M",0,0,-0.446063326122741
15,"M",30,0.4,-0.446063326122741
15,"M",60,0.6,-0.446063326122741
15,"M",90,1.2,-0.446063326122741
15,"M",120,1.4,-0.446063326122741
15,"M",150,1.7,-0.446063326122741
15,"M",180,1.9,-0.446063326122741
15,"M",210,2,-0.446063326122741
15,"M",240,2.1,-0.446063326122741
15,"M",270,2,-0.446063326122741
15,"M",300,2.2,-0.446063326122741
16,"M",0,0,0.222161045777318
16,"M",30,0.6,0.222161045777318
16,"M",60,0.8,0.222161045777318
16,"M",90,1.1,0.222161045777318
16,"M",120,1.3,0.222161045777318
16,"M",150,1.4,0.222161045777318
16,"M",180,1.5,0.222161045777318
16,"M",210,1.4,0.222161045777318
16,"M",240,1.5,0.222161045777318
16,"M",270,1.4,0.222161045777318
16,"M",300,1.5,0.222161045777318
17,"C",0,0,1.76223180848261
17,"C",30,0,1.76223180848261
17,"C",60,0,1.76223180848261
17,"C",90,0.1,1.76223180848261
17,"C",120,0.1,1.76223180848261
17,"C",150,0.3,1.76223180848261
17,"C",180,0.3,1.76223180848261
17,"C",210,0.4,1.76223180848261
17,"C",240,0.4,1.76223180848261
17,"C",270,0.1,1.76223180848261
17,"C",300,0.1,1.76223180848261
18,"M",0,0,0.124651909963577
18,"M",30,1.3,0.124651909963577
18,"M",60,1.6,0.124651909963577
18,"M",90,2,0.124651909963577
18,"M",120,2,0.124651909963577
18,"M",150,2.4,0.124651909963577
18,"M",180,2.7,0.124651909963577
18,"M",210,2.8,0.124651909963577
18,"M",240,2.9,0.124651909963577
18,"M",270,2.8,0.124651909963577
18,"M",300,3,0.124651909963577
19,"M",0,0,-0.744326565082424
19,"M",30,0.6,-0.744326565082424
19,"M",60,0.8,-0.744326565082424
19,"M",90,1,-0.744326565082424
19,"M",120,0.9,-0.744326565082424
19,"M",150,1.3,-0.744326565082424
19,"M",180,1.5,-0.744326565082424
19,"M",210,1.6,-0.744326565082424
19,"M",240,1.6,-0.744326565082424
19,"M",270,1.5,-0.744326565082424
19,"M",300,1.5,-0.744326565082424
20,"C",0,0,-0.113385098052325
20,"C",30,-0.6,-0.113385098052325
20,"C",60,-0.8,-0.113385098052325
20,"C",90,-0.9,-0.113385098052325
20,"C",120,-0.9,-0.113385098052325
20,"C",150,-0.9,-0.113385098052325
20,"C",180,-0.7,-0.113385098052325
20,"C",210,-0.7,-0.113385098052325
20,"C",240,-0.6,-0.113385098052325
20,"C",270,-0.6,-0.113385098052325
20,"C",300,-0.6,-0.113385098052325
21,"M",0,0,-0.469006652196562
21,"M",30,0.5,-0.469006652196562
21,"M",60,0.8,-0.469006652196562
21,"M",90,1,-0.469006652196562
21,"M",120,1.1,-0.469006652196562
21,"M",150,1.2,-0.469006652196562
21,"M",180,1.4,-0.469006652196562
21,"M",210,1.6,-0.469006652196562
21,"M",240,1.7,-0.469006652196562
21,"M",270,1.9,-0.469006652196562
21,"M",300,2.1,-0.469006652196562
22,"M",0,0,-1.19745725504041
22,"M",30,1,-1.19745725504041
22,"M",60,1.4,-1.19745725504041
22,"M",90,1.7,-1.19745725504041
22,"M",120,1.9,-1.19745725504041
22,"M",150,2,-1.19745725504041
22,"M",180,2,-1.19745725504041
22,"M",210,2,-1.19745725504041
22,"M",240,2.1,-1.19745725504041
22,"M",270,2.1,-1.19745725504041
22,"M",300,2.1,-1.19745725504041
23,"C",0,0,1.0681961947495
23,"C",30,-0.3,1.0681961947495
23,"C",60,-0.2,1.0681961947495
23,"C",90,-0.2,1.0681961947495
23,"C",120,0,1.0681961947495
23,"C",150,0.1,1.0681961947495
23,"C",180,0.1,1.0681961947495
23,"C",210,0,1.0681961947495
